Railway: Brisbane North; Timetable: Brisbane North Weekday 0400-0700;  Start time: 03:45

ECS Banyo Stabling to Northgate; Mass 270Te; Power 3000kW; Brake force 34Te; Maximum speed 30 km/h
,ES04

Created at Banyo Stabling,03:45
Departs from Banyo Stabling,04:35
Arrives at Northgate,04:39
At Northgate forms new service,DS04 at 04:40


SHBR Northgate to Boggo Road
,DS04

New service at Northgate from,ES04 at 04:40
Change maximum speed to 140 at Northgate,04:41
Departs from Northgate,04:42
Arrives & departs Nundah,04:44
Arrives & departs Toombul,04:46
Arrives & departs Eagle Junction,04:48
Arrives & departs Wooloowin,04:50
Arrives & departs Albion,04:52
Arrives & departs Bowen Hills,04:56
Exits railway at City Up Suburban,
allowable exit element(s): 2-19 ,04:57


ECS Banyo Stabling to Shorncliffe; Mass 269Te; Power 3000kW; Brake force 33Te; Maximum speed 60 km/h
,EA03

Created at Banyo Stabling,03:45
Departs from Banyo Stabling,04:48
Arrives at Shorncliffe,04:59
Changes direction at Shorncliffe,05:01
At Shorncliffe forms new service,D808 at 05:02


SHCL Shorncliffe to Cleveland
,D808

New service at Shorncliffe from,EA03 at 05:02
Change maximum speed to 140 at Shorncliffe,05:03
Departs from Shorncliffe,05:09
Arrives & departs Sandgate,05:11
Arrives & departs Deagon,05:13
Arrives & departs North Boondall,05:15
Arrives & departs Boondall,05:17
Arrives & departs Nudgee,05:20
Arrives & departs Banyo,05:22
Arrives & departs Bindha,05:24
Arrives & departs Northgate,05:27
Arrives & departs Nundah,05:29
Arrives & departs Toombul,05:31
Arrives & departs Eagle Junction,05:33
Arrives & departs Wooloowin,05:35
Arrives & departs Albion,05:37
Arrives & departs Bowen Hills,05:41
Exits railway at City Up Suburban,
allowable exit element(s): 2-19 ,05:42


ECS Banyo Stabling to Northgate; Mass 270Te; Power 3000kW; Brake force 32Te; Maximum speed 30 km/h
,E806

Created at Banyo Stabling,03:45
Departs from Banyo Stabling,04:47
Arrives at Northgate,04:51
At Northgate forms new service,D806 at 04:52


SHCL Northgate to Cleveland
,D806

New service at Northgate from,E806 at 04:52
Change maximum speed to 140 at Northgate,04:53
Departs from Northgate,04:57
Arrives & departs Nundah,04:59
Arrives & departs Toombul,05:01
Arrives & departs Eagle Junction,05:03
Arrives & departs Wooloowin,05:05
Arrives & departs Albion,05:07
Arrives & departs Bowen Hills,05:11
Exits railway at City Up Suburban,
allowable exit element(s): 2-19 ,05:12


ECS Banyo Stabling to Bowen Hills P3; Mass 268Te; Power 3000kW; Brake force 34Te; Maximum speed 30 km/h
,E506

Created at Banyo Stabling,03:45
Departs from Banyo Stabling,06:02
Passes Northgate,06:08
Arrives at Signal NE28,06:09
Change maximum speed to 50 at Signal NE28,06:10
Departs from Signal NE28,06:10
Passes Eagle Junction Up Main,06:14
Arrives at Bowen Hills,06:20
At Bowen Hills forms new service,D506 at 06:21


BRIP Bowen Hills to Ipswich
,D506

New service at Bowen Hills from,E506 at 06:21
Change maximum speed to 140 at Bowen Hills,06:21
Departs from Bowen Hills,06:22
Exits railway at City Up Main,
allowable exit element(s): 2-17 ,06:23


ECS Elimbah Stabling to Lawnton P2; Mass 260Te; Power 3000kW; Brake force 35Te; Maximum speed 140 km/h
,EY02

